cod_ori,latlon_ori,cod_des,latlon_des,cod,distancia
17,"-33.41667869361325,-57.98829706231997",6,"-33.29103587835989,-56.27098299307005",1706,195675
17,"-33.41667869361325,-57.98829706231997",7,"-33.53920654666071,-56.90577692183583",1707,126326
17,"-33.41667869361325,-57.98829706231997",8,"-34.032026238093366,-56.13160980422134",1708,250610
17,"-33.41667869361325,-57.98829706231997",9,"-34.21457704605623,-55.15399089880148",1709,348485
17,"-33.41667869361325,-57.98829706231997",10,"-34.85347673674695,-54.98336526692671",1710,366584
17,"-33.41667869361325,-57.98829706231997",11,"-32.283872150647106,-57.959994965057604",1711,145587
17,"-33.41667869361325,-57.98829706231997",12,"-32.92202758658411,-57.975510334124905",1712,67704
17,"-33.41667869361325,-57.98829706231997",13,"-31.02322481060381,-55.50845498927073",1713,446791
17,"-33.41667869361325,-57.98829706231997",14,"-34.151878164969204,-54.031687712278405",1714,464623
17,"-33.41667869361325,-57.98829706231997",15,"-31.35982522025497,-57.8823388590987",1715,264549
17,"-33.41667869361325,-57.98829706231997",16,"-34.51474804942168,-56.61756156142106",1716,197984
17,"-33.41667869361325,-57.98829706231997",18,"-31.967640007891212,-55.9947894362848",1718,317181
17,"-33.41667869361325,-57.98829706231997",19,"-33.168234436521246,-54.359141645492166",1719,408958
18,"-31.967640007891212,-55.9947894362848",1,"-34.86347311448007,-56.17403019571399",1801,359811
18,"-31.967640007891212,-55.9947894362848",2,"-30.407062416732217,-56.81554727891256",1802,254949
18,"-31.967640007891212,-55.9947894362848",3,"-34.70480623405611,-56.04615274218908",1803,351000
18,"-31.967640007891212,-55.9947894362848",4,"-32.412530637702794,-54.04713015664623",1804,249479
18,"-31.967640007891212,-55.9947894362848",5,"-34.23198949912197,-57.74210900659811",1805,348371
18,"-31.967640007891212,-55.9947894362848",6,"-33.29103587835989,-56.27098299307005",1806,200264
18,"-31.967640007891212,-55.9947894362848",7,"-33.53920654666071,-56.90577692183583",1807,223107
18,"-31.967640007891212,-55.9947894362848",8,"-34.032026238093366,-56.13160980422134",1808,282906
18,"-31.967640007891212,-55.9947894362848",9,"-34.21457704605623,-55.15399089880148",1809,354205
18,"-31.967640007891212,-55.9947894362848",10,"-34.85347673674695,-54.98336526692671",1810,420028
18,"-31.967640007891212,-55.9947894362848",11,"-32.283872150647106,-57.959994965057604",1811,240570
18,"-31.967640007891212,-55.9947894362848",12,"-32.92202758658411,-57.975510334124905",1812,282223
18,"-31.967640007891212,-55.9947894362848",13,"-31.02322481060381,-55.50845498927073",1813,145335
18,"-31.967640007891212,-55.9947894362848",14,"-34.151878164969204,-54.031687712278405",1814,410599
18,"-31.967640007891212,-55.9947894362848",15,"-31.35982522025497,-57.8823388590987",1815,235321
18,"-31.967640007891212,-55.9947894362848",16,"-34.51474804942168,-56.61756156142106",1816,323665
18,"-31.967640007891212,-55.9947894362848",17,"-33.41667869361325,-57.98829706231997",1817,317181
18,"-31.967640007891212,-55.9947894362848",19,"-33.168234436521246,-54.359141645492166",1819,300532
19,"-33.168234436521246,-54.359141645492166",1,"-34.86347311448007,-56.17403019571399",1901,288219
19,"-33.168234436521246,-54.359141645492166",2,"-30.407062416732217,-56.81554727891256",1902,481308
19,"-33.168234436521246,-54.359141645492166",3,"-34.70480623405611,-56.04615274218908",1903,265708
19,"-33.168234436521246,-54.359141645492166",4,"-32.412530637702794,-54.04713015664623",1904,109230
19,"-33.168234436521246,-54.359141645492166",5,"-34.23198949912197,-57.74210900659811",1905,412983
19,"-33.168234436521246,-54.359141645492166",6,"-33.29103587835989,-56.27098299307005",1906,217352
19,"-33.168234436521246,-54.359141645492166",7,"-33.53920654666071,-56.90577692183583",1907,287718
19,"-33.168234436521246,-54.359141645492166",8,"-34.032026238093366,-56.13160980422134",1908,238184
19,"-33.168234436521246,-54.359141645492166",9,"-34.21457704605623,-55.15399089880148",1909,163101
19,"-33.168234436521246,-54.359141645492166",10,"-34.85347673674695,-54.98336526692671",1910,216964
19,"-33.168234436521246,-54.359141645492166",11,"-32.283872150647106,-57.959994965057604",1911,454655
19,"-33.168234436521246,-54.359141645492166",12,"-32.92202758658411,-57.975510334124905",1912,443288
19,"-33.168234436521246,-54.359141645492166",13,"-31.02322481060381,-55.50845498927073",1913,324423
19,"-33.168234436521246,-54.359141645492166",14,"-34.151878164969204,-54.031687712278405",1914,149488
19,"-33.168234436521246,-54.359141645492166",15,"-31.35982522025497,-57.8823388590987",1915,486989
19,"-33.168234436521246,-54.359141645492166",16,"-34.51474804942168,-56.61756156142106",1916,317293
19,"-33.168234436521246,-54.359141645492166",17,"-33.41667869361325,-57.98829706231997",1917,408958
19,"-33.168234436521246,-54.359141645492166",18,"-31.967640007891212,-55.9947894362848",1918,300533
